ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS
839572,40-64,male,majority,20-29y,high school,working class,0.452944232,0,before 2015,1,1,10238,12000,sedan,3,0,1
171578,26-39,male,majority,10-19y,university,upper class,,1,before 2015,1,1,10238,8000,sedan,2,0,1
589757,40-64,female,majority,20-29y,high school,upper class,0.53527431,1,before 2015,1,1,92101,7000,sedan,2,0,0
336859,16-25,female,majority,0-9y,university,middle class,0.614735949,1,before 2015,0,1,10238,15000,sedan,0,0,0
788111,40-64,female,minority,20-29y,high school,poverty,0.454447156,1,before 2015,1,1,10238,,sedan,1,0,1
407453,40-64,female,majority,0-9y,university,upper class,0.613740918,1,before 2015,0,0,10238,,sedan,0,0,0
367026,40-64,female,minority,10-19y,high school,working class,0.532661328,1,before 2015,1,1,10238,11000,sedan,0,0,0
334687,40-64,female,minority,0-9y,university,middle class,0.427728514,1,before 2015,0,0,10238,15000,sedan,0,0,0
623367,65+,male,majority,20-29y,university,upper class,0.685945721,1,before 2015,1,1,32765,5000,sedan,4,1,4
688440,65+,male,majority,10-19y,university,upper class,0.693612427,1,before 2015,1,1,10238,10000,sedan,2,0,0
547974,65+,male,majority,20-29y,high school,upper class,0.597990596,0,before 2015,1,1,10238,12000,sedan,2,1,7
989064,26-39,male,majority,0-9y,none,poverty,0.330818666,0,after 2015,1,1,10238,12000,sedan,0,0,0
422816,40-64,male,majority,20-29y,high school,working class,,1,before 2015,0,0,10238,12000,sedan,5,0,7
307408,26-39,female,minority,10-19y,none,working class,,1,before 2015,0,1,10238,9000,sedan,2,0,0
675898,16-25,male,majority,0-9y,high school,middle class,0.508304218,1,before 2015,0,1,10238,16000,sedan,0,0,0
480452,26-39,female,majority,0-9y,university,upper class,0.764132917,1,before 2015,1,1,10238,12000,sedan,0,0,0
93199,40-64,female,majority,0-9y,university,middle class,0.47751696,1,after 2015,1,1,10238,14000,sedan,0,0,0
125802,40-64,female,majority,20-29y,university,upper class,0.681233208,1,before 2015,1,1,10238,10000,sedan,0,0,1
616663,40-64,male,majority,0-9y,university,upper class,0.467155546,1,after 2015,0,0,10238,16000,sedan,0,0,0
423497,16-25,female,majority,0-9y,high school,working class,0.394163245,1,before 2015,0,0,10238,16000,sedan,0,0,0
492837,40-64,female,majority,10-19y,university,upper class,0.661060732,1,after 2015,1,1,10238,14000,sedan,0,0,0
422563,40-64,male,majority,20-29y,university,upper class,0.665187975,0,before 2015,0,1,10238,14000,sedan,2,0,1
185231,16-25,female,majority,0-9y,high school,middle class,0.560770207,1,before 2015,0,1,10238,11000,sedan,0,0,0
949152,26-39,female,majority,10-19y,university,upper class,0.74543271,0,after 2015,0,0,32765,9000,sedan,0,0,0
859453,26-39,male,majority,10-19y,university,middle class,0.532574352,1,before 2015,1,1,10238,13000,sedan,1,0,2
466578,26-39,female,majority,10-19y,high school,middle class,0.526747339,1,after 2015,0,1,10238,14000,sedan,0,0,0
998214,16-25,female,minority,0-9y,none,poverty,0.412451746,0,before 2015,0,0,10238,14000,sedan,0,0,0
828462,40-64,male,majority,20-29y,high school,working class,0.387107145,0,before 2015,0,1,10238,16000,sedan,0,0,6
511837,65+,male,majority,10-19y,high school,middle class,0.549993868,1,before 2015,1,1,32765,9000,sedan,3,1,1
554995,16-25,male,majority,0-9y,university,upper class,0.585342095,1,before 2015,1,1,10238,12000,sports car,0,0,0
680717,65+,male,majority,30y+,none,middle class,0.598739605,1,before 2015,1,1,10238,14000,sedan,6,1,3
978021,40-64,male,majority,20-29y,university,upper class,0.6026557,1,after 2015,1,1,10238,7000,sedan,4,0,6
509815,26-39,female,majority,0-9y,high school,working class,0.511457058,1,after 2015,1,1,32765,,sedan,0,0,0
6676,40-64,female,majority,20-29y,high school,upper class,0.558659174,0,before 2015,0,1,10238,15000,sedan,3,0,2
362280,40-64,male,majority,10-19y,high school,working class,0.628407014,0,before 2015,0,0,10238,13000,sedan,0,0,0
883018,40-64,male,majority,0-9y,high school,working class,0.505790373,1,before 2015,0,1,10238,13000,sedan,0,0,0
889355,26-39,female,majority,10-19y,university,upper class,0.726818418,1,before 2015,1,1,10238,15000,sedan,2,0,0
198273,65+,male,majority,20-29y,university,upper class,0.690442334,1,after 2015,1,1,32765,9000,sedan,8,0,2
197763,40-64,male,majority,20-29y,university,upper class,0.479677165,0,after 2015,1,0,10238,14000,sedan,1,0,2
55670,26-39,male,majority,10-19y,university,upper class,,1,after 2015,1,1,10238,11000,sedan,3,1,0
545941,40-64,female,majority,20-29y,none,working class,0.440559204,1,after 2015,1,1,10238,11000,sedan,1,0,2
814196,16-25,female,majority,0-9y,none,middle class,0.634052597,1,before 2015,0,1,32765,,sedan,0,0,0
560160,16-25,female,majority,0-9y,high school,poverty,0.457469588,0,before 2015,0,0,10238,,sedan,0,0,0
320444,26-39,male,majority,0-9y,none,poverty,0.308649018,0,before 2015,0,1,10238,14000,sedan,0,0,0
305793,16-25,male,majority,0-9y,high school,poverty,0.245835185,0,before 2015,1,1,10238,11000,sedan,0,0,0
362190,16-25,male,majority,0-9y,high school,poverty,0.305646519,0,before 2015,0,0,10238,14000,sedan,0,0,0
62647,26-39,male,majority,10-19y,high school,upper class,0.744014086,1,before 2015,0,0,10238,13000,sedan,2,0,1
296948,40-64,male,majority,10-19y,university,upper class,0.670464547,1,after 2015,1,1,10238,14000,sedan,0,0,0
673660,65+,female,majority,30y+,high school,upper class,0.683040798,0,after 2015,1,1,10238,10000,sedan,4,1,3
945867,16-25,male,majority,0-9y,university,middle class,0.828628569,1,before 2015,0,0,10238,13000,sedan,0,0,0
391880,65+,male,majority,30y+,none,middle class,,1,before 2015,1,1,32765,10000,sedan,12,2,2
241973,65+,female,majority,30y+,high school,upper class,0.629338094,1,before 2015,1,0,10238,11000,sedan,2,0,2
429503,16-25,male,majority,0-9y,high school,poverty,0.283724211,0,before 2015,0,1,10238,15000,sedan,0,0,0
810013,16-25,male,majority,0-9y,university,working class,0.457648682,1,after 2015,0,0,10238,14000,sports car,0,0,0
663458,16-25,female,majority,0-9y,high school,poverty,0.304987642,0,before 2015,0,0,10238,15000,sedan,0,0,0
879976,16-25,male,majority,0-9y,high school,working class,0.551744288,0,before 2015,1,1,32765,10000,sedan,0,0,0
418841,16-25,male,minority,0-9y,none,poverty,0.318685556,1,before 2015,1,0,32765,9000,sedan,0,0,0
542236,26-39,male,minority,10-19y,none,working class,0.436944194,1,before 2015,0,0,10238,12000,sedan,3,0,0
937573,40-64,male,majority,10-19y,university,upper class,0.629193984,1,before 2015,1,1,32765,7000,sedan,5,0,1
670850,16-25,male,majority,0-9y,university,working class,0.405560016,1,before 2015,0,0,10238,17000,sedan,0,0,0
151252,16-25,male,majority,0-9y,university,middle class,0.623546212,1,before 2015,1,0,10238,11000,sedan,0,0,0
706349,65+,male,majority,10-19y,university,upper class,0.72703299,1,before 2015,1,1,10238,10000,sedan,1,1,2
602998,65+,male,majority,20-29y,none,working class,0.426828389,1,before 2015,1,0,10238,14000,sedan,3,1,7
242772,26-39,female,majority,10-19y,none,middle class,0.50365897,1,before 2015,0,1,10238,10000,sedan,1,2,0
393449,26-39,female,majority,10-19y,high school,middle class,,0,before 2015,0,0,10238,12000,sedan,2,0,0
380740,65+,male,majority,30y+,university,upper class,0.726440002,1,after 2015,1,1,10238,7000,sedan,2,0,3
938115,16-25,female,majority,0-9y,none,poverty,0.244490093,0,before 2015,0,1,32765,,sedan,0,0,0
727943,16-25,male,majority,0-9y,university,middle class,0.575770797,1,before 2015,0,0,10238,11000,sedan,0,0,0
766309,16-25,male,majority,0-9y,high school,poverty,,0,before 2015,0,0,10238,10000,sports car,0,0,0
261229,16-25,male,majority,0-9y,university,working class,0.468671966,1,after 2015,0,1,32765,9000,sedan,0,0,0
60866,65+,male,majority,20-29y,university,upper class,0.697083456,0,after 2015,0,1,10238,13000,sedan,3,0,2
752797,40-64,female,majority,20-29y,high school,working class,0.542918108,1,before 2015,0,0,10238,15000,sedan,1,1,0
45002,65+,male,majority,30y+,high school,upper class,0.672256254,1,before 2015,1,1,10238,9000,sedan,4,1,2
482448,16-25,male,majority,0-9y,none,poverty,0.386406619,0,before 2015,0,0,32765,8000,sedan,0,0,0
549142,16-25,male,majority,0-9y,university,middle class,0.551297833,1,before 2015,1,1,10238,12000,sedan,0,0,0
95138,40-64,male,majority,20-29y,high school,middle class,0.598557025,0,after 2015,1,0,10238,14000,sedan,4,1,4
851152,26-39,female,majority,10-19y,none,working class,,0,before 2015,1,1,10238,,sedan,0,0,1
615991,40-64,female,majority,20-29y,high school,upper class,0.582421995,1,after 2015,1,1,10238,11000,sedan,2,0,1
424820,26-39,female,minority,10-19y,high school,middle class,0.540182723,1,before 2015,1,1,10238,,sedan,0,0,1
807847,65+,male,majority,20-29y,university,upper class,0.633013948,1,after 2015,0,1,10238,14000,sedan,3,1,4
758983,40-64,male,majority,20-29y,high school,middle class,0.55220463,1,after 2015,1,0,32765,12000,sedan,6,0,3
987114,26-39,female,majority,0-9y,university,middle class,0.32668161,0,before 2015,0,0,10238,16000,sedan,0,0,0
873457,40-64,male,minority,20-29y,high school,middle class,0.588082542,1,before 2015,1,1,10238,13000,sedan,7,1,1
699703,65+,female,majority,0-9y,university,upper class,0.702274802,0,before 2015,1,1,92101,10000,sedan,0,0,0
563342,65+,female,majority,0-9y,university,upper class,0.726605539,1,before 2015,0,1,10238,13000,sedan,0,0,0
504412,26-39,male,majority,10-19y,university,working class,,0,before 2015,1,1,10238,12000,sedan,3,2,3
284106,65+,male,majority,30y+,university,upper class,0.732382121,1,before 2015,1,1,10238,12000,sedan,5,1,5
78189,16-25,female,majority,0-9y,none,poverty,0.201283921,1,before 2015,0,0,32765,12000,sedan,0,0,0
427520,26-39,male,majority,10-19y,university,middle class,0.464160708,0,before 2015,0,0,10238,16000,sedan,0,1,0
689030,40-64,female,majority,20-29y,university,upper class,0.657967743,1,after 2015,1,0,92101,13000,sedan,1,0,1
966467,65+,male,majority,30y+,university,upper class,0.600216155,1,before 2015,1,1,10238,13000,sedan,5,2,4
288712,65+,male,majority,30y+,university,upper class,0.666376018,1,after 2015,1,1,10238,12000,sedan,3,0,7
228114,26-39,male,majority,0-9y,high school,working class,0.40314728,1,before 2015,1,1,10238,10000,sedan,0,0,0
63715,65+,male,majority,20-29y,university,upper class,0.416935044,1,before 2015,0,1,10238,13000,sedan,5,1,5
624077,65+,female,majority,30y+,none,upper class,0.594879714,1,before 2015,1,1,32765,8000,sports car,10,0,1
726352,26-39,male,minority,10-19y,none,poverty,0.380426503,0,before 2015,1,1,10238,16000,sedan,1,0,1
150072,16-25,female,majority,0-9y,none,poverty,,0,before 2015,0,0,21217,14000,sedan,0,0,0
792396,65+,female,majority,30y+,university,upper class,0.680617632,1,before 2015,1,1,10238,12000,sedan,1,2,2
768933,40-64,male,minority,0-9y,high school,working class,0.35595047,1,before 2015,0,1,10238,16000,sedan,0,0,0
452356,40-64,female,majority,10-19y,none,middle class,,1,before 2015,0,1,32765,10000,sedan,2,0,0
849811,65+,female,minority,30y+,high school,upper class,0.587831426,1,after 2015,1,0,32765,,sports car,3,0,1
579336,65+,female,majority,10-19y,university,upper class,0.573388043,1,after 2015,1,1,10238,10000,sedan,0,0,2
648922,16-25,male,majority,0-9y,university,middle class,0.296406283,1,before 2015,0,0,10238,13000,sedan,0,0,0
47909,65+,male,majority,10-19y,university,upper class,0.429509699,1,before 2015,1,1,10238,10000,sedan,1,0,4
619577,65+,female,majority,30y+,university,upper class,0.688568719,1,after 2015,0,1,92101,11000,sedan,2,0,0
212678,65+,female,majority,20-29y,university,upper class,0.700017432,1,after 2015,0,1,32765,13000,sedan,1,0,1
579720,26-39,male,majority,10-19y,university,working class,0.449588631,0,before 2015,0,1,10238,,sports car,0,0,1
995884,40-64,female,majority,20-29y,university,upper class,0.690045582,1,after 2015,1,0,10238,11000,sedan,2,1,1
226326,40-64,female,minority,10-19y,university,working class,0.496029873,1,after 2015,0,0,10238,13000,sedan,0,0,1
943922,26-39,male,majority,10-19y,university,upper class,0.656345763,0,after 2015,1,1,32765,6000,sedan,8,0,0
510116,40-64,male,majority,0-9y,high school,middle class,0.498356626,1,after 2015,0,1,10238,12000,sedan,0,0,0
536546,16-25,female,majority,0-9y,university,middle class,0.546382543,1,before 2015,1,1,10238,12000,sedan,0,0,0
75592,40-64,female,majority,10-19y,high school,working class,0.315862877,1,before 2015,0,1,10238,11000,sedan,0,0,1
487116,26-39,male,majority,10-19y,none,working class,0.530064317,1,before 2015,0,0,10238,,sedan,1,0,2
936820,26-39,female,majority,10-19y,high school,working class,0.357839172,1,before 2015,0,1,32765,12000,sedan,1,0,0
634050,65+,male,majority,10-19y,university,upper class,0.672756053,1,after 2015,1,1,10238,9000,sedan,1,0,2
307397,40-64,male,majority,20-29y,university,upper class,0.741999376,1,after 2015,0,1,10238,,sedan,2,0,2
558748,65+,female,majority,30y+,university,upper class,0.622651979,1,after 2015,1,1,10238,11000,sedan,1,0,0
856630,16-25,female,majority,0-9y,high school,middle class,0.480140668,0,after 2015,0,0,32765,14000,sedan,0,0,0
200009,65+,male,majority,30y+,university,upper class,0.678795431,1,after 2015,1,1,10238,11000,sedan,5,1,3
784462,65+,male,majority,30y+,university,upper class,,1,before 2015,1,1,32765,10000,sedan,13,1,6
792252,40-64,female,majority,20-29y,university,upper class,0.515246708,1,after 2015,0,1,10238,12000,sedan,2,0,1
462586,26-39,male,majority,10-19y,none,working class,0.489920599,1,before 2015,0,1,10238,13000,sedan,3,0,1
577965,65+,male,majority,30y+,high school,middle class,0.421957949,1,before 2015,0,1,10238,11000,sedan,4,0,6
818248,40-64,male,majority,20-29y,university,upper class,0.58435485,1,before 2015,0,0,10238,,sedan,1,0,2
491438,16-25,male,majority,0-9y,none,poverty,,0,before 2015,0,0,10238,9000,sedan,0,0,0
896587,65+,female,majority,30y+,high school,upper class,0.55815697,1,after 2015,0,1,10238,14000,sedan,0,0,0
431538,16-25,male,majority,0-9y,high school,poverty,0.194149548,0,before 2015,1,0,10238,12000,sports car,0,0,0
164516,16-25,male,majority,0-9y,high school,poverty,0.30049733,0,before 2015,0,0,10238,13000,sedan,0,0,0
479577,40-64,female,majority,20-29y,university,upper class,0.667090692,1,after 2015,1,1,10238,7000,sedan,4,0,0
395233,40-64,male,majority,0-9y,high school,upper class,0.613072408,1,before 2015,1,0,10238,,sedan,0,0,0
221838,40-64,male,majority,10-19y,university,upper class,,1,after 2015,1,0,10238,11000,sedan,3,0,2
938476,26-39,male,minority,10-19y,high school,middle class,0.595281763,1,before 2015,1,1,32765,8000,sedan,1,0,1
112454,26-39,male,majority,0-9y,none,poverty,0.348235788,0,before 2015,1,1,32765,7000,sedan,0,0,0
91246,26-39,male,majority,10-19y,high school,working class,0.356639671,1,after 2015,1,1,10238,8000,sedan,3,0,1
2743,26-39,female,majority,10-19y,none,working class,0.348659127,0,before 2015,1,0,21217,12000,sedan,0,0,0
248888,40-64,male,majority,0-9y,high school,middle class,0.559468486,1,before 2015,0,1,32765,12000,sedan,0,0,0
195523,16-25,male,majority,0-9y,high school,poverty,0.514483731,0,before 2015,0,0,10238,12000,sedan,0,0,0
981926,40-64,female,majority,20-29y,university,upper class,0.562638406,1,after 2015,0,1,10238,13000,sedan,2,1,0
593426,40-64,male,majority,20-29y,university,middle class,0.571724625,1,before 2015,0,1,32765,15000,sedan,2,2,1
235574,65+,female,majority,30y+,university,upper class,0.651007869,1,after 2015,1,1,10238,12000,sedan,5,0,2
440993,16-25,male,majority,0-9y,university,working class,0.370734817,1,before 2015,0,0,10238,12000,sedan,0,0,0
446993,16-25,male,majority,0-9y,high school,poverty,0.305145078,1,before 2015,0,0,10238,14000,sedan,0,0,0
82684,26-39,male,majority,10-19y,university,upper class,0.574414422,1,before 2015,0,0,32765,,sedan,2,0,5
301242,26-39,female,majority,10-19y,university,middle class,0.450014568,1,before 2015,0,1,10238,13000,sedan,1,0,1
784122,26-39,male,majority,10-19y,university,upper class,0.636449096,1,before 2015,1,1,10238,,sedan,0,1,4
884967,65+,male,majority,30y+,university,upper class,0.457671703,0,before 2015,1,1,10238,,sedan,4,0,8
7722,26-39,female,minority,0-9y,high school,poverty,0.335747373,0,before 2015,0,1,10238,15000,sedan,0,0,0
278557,26-39,female,majority,10-19y,none,poverty,0.318694765,0,before 2015,0,1,32765,,sports car,1,2,0
123443,26-39,male,majority,10-19y,university,upper class,0.557840327,1,after 2015,1,1,10238,10000,sedan,2,0,0
112143,16-25,female,majority,0-9y,none,working class,0.192427412,0,before 2015,0,1,32765,11000,sedan,0,0,0
912138,26-39,male,majority,10-19y,university,working class,0.352824325,0,before 2015,1,1,32765,11000,sports car,6,1,3
601305,65+,female,majority,0-9y,university,upper class,0.647569235,0,after 2015,1,1,10238,11000,sedan,0,0,0
602274,16-25,female,majority,0-9y,high school,middle class,0.457236263,1,after 2015,0,0,92101,10000,sedan,0,0,0
352099,26-39,male,majority,10-19y,none,middle class,0.504246929,1,before 2015,0,1,10238,13000,sedan,0,0,1
660400,16-25,male,majority,0-9y,high school,poverty,0.374962501,1,before 2015,0,1,10238,15000,sedan,0,0,0
267614,16-25,female,majority,0-9y,university,upper class,0.660315621,1,before 2015,0,1,10238,11000,sports car,0,0,0
974380,40-64,female,majority,20-29y,high school,upper class,0.416917887,1,before 2015,0,1,32765,12000,sedan,3,0,0
346585,26-39,female,majority,10-19y,high school,upper class,0.635084035,1,before 2015,1,0,10238,17000,sedan,0,1,0
536135,26-39,male,majority,10-19y,high school,middle class,0.404928851,1,before 2015,1,1,92101,11000,sedan,2,0,0
75569,40-64,female,majority,20-29y,high school,upper class,0.495628393,0,after 2015,1,0,10238,11000,sedan,2,0,0
415320,16-25,male,majority,0-9y,none,poverty,0.392177835,0,before 2015,1,0,10238,,sedan,0,0,0
645135,40-64,female,majority,10-19y,high school,upper class,0.51494505,1,after 2015,1,1,10238,11000,sedan,0,0,2
421596,65+,male,majority,30y+,university,upper class,0.503222539,1,after 2015,1,1,10238,9000,sedan,6,2,10
164636,26-39,female,majority,10-19y,university,upper class,0.714033903,1,before 2015,1,1,21217,11000,sedan,0,0,0
405100,26-39,male,majority,10-19y,high school,working class,0.36705124,0,before 2015,1,0,10238,14000,sedan,1,0,1
315223,40-64,female,majority,20-29y,high school,middle class,0.579392904,1,before 2015,0,0,92101,13000,sedan,2,0,0
628723,40-64,female,majority,20-29y,high school,middle class,0.558470224,1,before 2015,0,1,10238,10000,sedan,1,0,4
483693,16-25,female,majority,0-9y,high school,working class,0.291977658,0,before 2015,0,1,32765,12000,sedan,0,0,0
416795,40-64,female,majority,20-29y,high school,middle class,0.661584142,1,before 2015,0,1,32765,12000,sedan,5,0,0
712973,16-25,female,majority,0-9y,none,poverty,0.378829029,0,before 2015,0,0,10238,17000,sedan,0,0,0
755061,16-25,female,minority,0-9y,high school,poverty,0.374070559,1,before 2015,0,0,10238,15000,sedan,0,0,0
625426,40-64,male,majority,20-29y,university,upper class,,1,before 2015,0,0,10238,13000,sedan,3,1,2
162614,65+,male,majority,30y+,university,upper class,0.459378575,1,before 2015,1,1,10238,13000,sedan,1,0,5
732843,40-64,male,majority,20-29y,university,middle class,,1,before 2015,0,0,10238,15000,sedan,2,0,5
466761,40-64,female,majority,0-9y,university,upper class,0.465450684,1,after 2015,1,1,10238,11000,sedan,0,0,0
498232,16-25,male,minority,0-9y,high school,middle class,0.408686698,1,before 2015,0,1,32765,9000,sedan,0,0,0
170391,65+,female,majority,20-29y,high school,upper class,0.588802139,1,before 2015,1,1,10238,11000,sedan,2,0,2
918640,40-64,male,majority,20-29y,high school,upper class,0.615024679,1,before 2015,1,1,32765,7000,sedan,3,1,0
937134,65+,female,majority,30y+,high school,upper class,,1,before 2015,1,1,32765,8000,sedan,2,0,0
273764,40-64,female,majority,20-29y,university,upper class,0.546460114,1,after 2015,1,1,10238,8000,sedan,1,0,1
418555,26-39,female,minority,10-19y,none,working class,,1,before 2015,0,0,10238,16000,sedan,1,0,1
344228,65+,male,majority,0-9y,university,upper class,0.73799482,1,after 2015,1,0,10238,17000,sedan,0,0,0
809278,40-64,female,majority,10-19y,none,working class,0.427373364,1,before 2015,0,1,32765,10000,sedan,3,0,0
68145,16-25,female,majority,0-9y,high school,poverty,0.412991841,0,before 2015,0,0,10238,,sedan,0,0,0
128369,40-64,male,majority,20-29y,university,upper class,0.695323197,0,before 2015,1,1,32765,7000,sedan,3,1,1
194925,16-25,female,majority,0-9y,high school,poverty,0.291234413,0,before 2015,0,1,10238,13000,sedan,0,0,0
